seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
245,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
245,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
245,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
245,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
246,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
246,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
246,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
246,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
246,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
247,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
247,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
247,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
247,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
247,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
248,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
248,causal,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
248,causal_lcb,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
248,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
248,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
249,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
249,causal,234.0153107999771,1.832367760379043,0.7769284699192487,6,6,6,0.0,2.0
249,causal_lcb,234.0153107999771,1.832367760379043,0.7769284699192487,6,6,6,0.0,2.0
249,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
249,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
250,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
250,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
250,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
250,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
250,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
251,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
