experiment_id,domain,aggregation,attack_id,adversarial_fraction,seed,clean_auroc,attacked_auroc,abs_degradation,rel_degradation,worst_client_auroc,runtime_ms
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261414,0.770017,0.6331,0.136916,0.507066,0.491993,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261515,0.821934,0.614982,0.206952,0.642841,0.551821,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261616,0.808689,0.645445,0.163245,0.528831,0.478383,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261717,0.8157,0.646792,0.168908,0.535028,0.479711,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261818,0.815326,0.636729,0.178596,0.566387,0.503323,33
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261919,0.801767,0.628244,0.173523,0.575022,0.430871,33
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260000,0.821075,0.576541,0.244533,0.761609,0.418938,32
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260101,0.7863,0.564443,0.221858,0.774913,0.49642,29
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260202,0.810367,0.586623,0.223744,0.720902,0.491436,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260303,0.79908,0.582426,0.216654,0.724401,0.456792,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260404,0.75587,0.567317,0.188552,0.736908,0.514136,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260505,0.815793,0.593359,0.222434,0.704365,0.438206,37
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260606,0.775435,0.549354,0.22608,0.820813,0.421544,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260707,0.817994,0.598785,0.219209,0.68935,0.447991,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260808,0.803279,0.584896,0.218384,0.720074,0.420139,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20260909,0.773178,0.548239,0.224938,0.823415,0.409904,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261010,0.79857,0.583434,0.215136,0.720555,0.431198,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261111,0.784578,0.577671,0.206907,0.727067,0.444725,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261212,0.822766,0.592215,0.230551,0.714297,0.498834,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261313,0.817373,0.585597,0.231777,0.730297,0.421456,32
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261414,0.770017,0.58194,0.188077,0.696537,0.483987,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261515,0.821934,0.546861,0.275073,0.854438,0.503314,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261616,0.808689,0.58217,0.22652,0.733811,0.459838,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261717,0.8157,0.584398,0.231301,0.732663,0.436608,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261818,0.815326,0.573616,0.24171,0.76654,0.469534,34
P2-E3,clinical-sim,fedavg,gaussian-5,0.2,20261919,0.801767,0.583529,0.218237,0.723199,0.393729,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260000,0.821075,0.538132,0.282943,0.881237,0.39271,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260101,0.7863,0.525731,0.26057,0.910127,0.468324,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260202,0.810367,0.557895,0.252472,0.813462,0.470037,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260303,0.79908,0.552932,0.246148,0.823017,0.448058,33
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260404,0.75587,0.545108,0.210761,0.823705,0.486353,32
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260505,0.815793,0.553413,0.26238,0.83086,0.421859,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260606,0.775435,0.515885,0.259549,0.942327,0.413235,32
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260707,0.817994,0.560504,0.25749,0.809733,0.382761,32
P2-E3,clinical-sim,fedavg,gaussian-5,0.3,20260808,0.803279,0.554718,0.248561,0.819578,0.417719,31
